,Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
1265,23-24,280.0,1.0,Richfield Public School District,1.0,911.0,1.0,Cambridge-Isanti Public School District
1266,23-24,281.0,1.0,Robbinsdale Public School District,926.0,1.0,3.0,Minneapolis Public School District
1267,23-24,281.0,1.0,Robbinsdale Public School District,66.0,11.0,1.0,Anoka-Hennepin Public School District
1268,23-24,281.0,1.0,Robbinsdale Public School District,5.0,13.0,1.0,Columbia Heights Public School District
1269,23-24,281.0,1.0,Robbinsdale Public School District,7.0,14.0,1.0,Fridley Public School District
1270,23-24,281.0,1.0,Robbinsdale Public School District,8.0,16.0,1.0,Spring Lake Park Public Schools
1271,23-24,281.0,1.0,Robbinsdale Public School District,1.0,47.0,1.0,Sauk Rapids-Rice Public Schools
1272,23-24,281.0,1.0,Robbinsdale Public School District,3.0,191.0,1.0,Burnsville-Eagan-Savage School District
1273,23-24,281.0,1.0,Robbinsdale Public School District,1.0,197.0,1.0,West St. Paul-Mendota Heights-Eagan
1274,23-24,281.0,1.0,Robbinsdale Public School District,33.0,270.0,1.0,Hopkins Public School District
1275,23-24,281.0,1.0,Robbinsdale Public School District,3.0,271.0,1.0,Bloomington Public School District
1276,23-24,281.0,1.0,Robbinsdale Public School District,5.0,272.0,1.0,Eden Prairie Public School District
1277,23-24,281.0,1.0,Robbinsdale Public School District,3.0,273.0,1.0,Edina Public School District
1278,23-24,281.0,1.0,Robbinsdale Public School District,2.0,276.0,1.0,Minnetonka Public School District
1279,23-24,281.0,1.0,Robbinsdale Public School District,1.0,277.0,1.0,Westonka Public School District
1280,23-24,281.0,1.0,Robbinsdale Public School District,3.0,278.0,1.0,Orono Public School District
1281,23-24,281.0,1.0,Robbinsdale Public School District,315.0,279.0,1.0,Osseo Public School District
1282,23-24,281.0,1.0,Robbinsdale Public School District,1.0,280.0,1.0,Richfield Public School District
1283,23-24,281.0,1.0,Robbinsdale Public School District,13.0,283.0,1.0,St. Louis Park Public School District
1284,23-24,281.0,1.0,Robbinsdale Public School District,41.0,284.0,1.0,Wayzata Public School District
1285,23-24,281.0,1.0,Robbinsdale Public School District,58.0,286.0,1.0,Brooklyn Center Community Schools
1286,23-24,281.0,1.0,Robbinsdale Public School District,1.0,333.0,1.0,Ogilvie Public School District
1287,23-24,281.0,1.0,Robbinsdale Public School District,1.0,477.0,1.0,Princeton Public School District
1288,23-24,281.0,1.0,Robbinsdale Public School District,3.0,621.0,1.0,Mounds View Public School District
1289,23-24,281.0,1.0,Robbinsdale Public School District,1.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
1290,23-24,281.0,1.0,Robbinsdale Public School District,1.0,623.0,1.0,Roseville Public School District
1291,23-24,281.0,1.0,Robbinsdale Public School District,3.0,624.0,1.0,White Bear Lake School District
1292,23-24,281.0,1.0,Robbinsdale Public School District,14.0,625.0,1.0,Saint Paul Public Schools
1293,23-24,281.0,1.0,Robbinsdale Public School District,2.0,720.0,1.0,Shakopee Public School District
1294,23-24,281.0,1.0,Robbinsdale Public School District,4.0,727.0,1.0,Big Lake Public School District
1295,23-24,281.0,1.0,Robbinsdale Public School District,11.0,728.0,1.0,Elk River Public School District
1296,23-24,281.0,1.0,Robbinsdale Public School District,2.0,742.0,1.0,St. Cloud Public School District
1297,23-24,281.0,1.0,Robbinsdale Public School District,1.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
1298,23-24,281.0,1.0,Robbinsdale Public School District,1.0,879.0,1.0,Delano Public School District
1299,23-24,281.0,1.0,Robbinsdale Public School District,1.0,883.0,1.0,Rockford Public School District
1300,23-24,281.0,1.0,Robbinsdale Public School District,2.0,911.0,1.0,Cambridge-Isanti Public School District
1301,23-24,281.0,1.0,Robbinsdale Public School District,1.0,2905.0,1.0,Tri-City United School District
1302,23-24,282.0,1.0,St. Anthony-New Brighton Schools,276.0,1.0,3.0,Minneapolis Public School District
1303,23-24,282.0,1.0,St. Anthony-New Brighton Schools,11.0,11.0,1.0,Anoka-Hennepin Public School District
1304,23-24,282.0,1.0,St. Anthony-New Brighton Schools,2.0,12.0,1.0,Centennial Public School District
1305,23-24,282.0,1.0,St. Anthony-New Brighton Schools,120.0,13.0,1.0,Columbia Heights Public School District
1306,23-24,282.0,1.0,St. Anthony-New Brighton Schools,14.0,14.0,1.0,Fridley Public School District
1307,23-24,282.0,1.0,St. Anthony-New Brighton Schools,9.0,16.0,1.0,Spring Lake Park Public Schools
1308,23-24,282.0,1.0,St. Anthony-New Brighton Schools,1.0,273.0,1.0,Edina Public School District
1309,23-24,282.0,1.0,St. Anthony-New Brighton Schools,6.0,279.0,1.0,Osseo Public School District
1310,23-24,282.0,1.0,St. Anthony-New Brighton Schools,1.0,281.0,1.0,Robbinsdale Public School District
1311,23-24,282.0,1.0,St. Anthony-New Brighton Schools,1.0,286.0,1.0,Brooklyn Center Community Schools
1312,23-24,282.0,1.0,St. Anthony-New Brighton Schools,51.0,621.0,1.0,Mounds View Public School District
1313,23-24,282.0,1.0,St. Anthony-New Brighton Schools,12.0,623.0,1.0,Roseville Public School District
1314,23-24,282.0,1.0,St. Anthony-New Brighton Schools,1.0,624.0,1.0,White Bear Lake School District
1315,23-24,282.0,1.0,St. Anthony-New Brighton Schools,8.0,625.0,1.0,Saint Paul Public Schools
1316,23-24,282.0,1.0,St. Anthony-New Brighton Schools,1.0,834.0,1.0,Stillwater Area Public Schools
1317,23-24,283.0,1.0,St. Louis Park Public School District,1.0,1.0,1.0,Aitkin Public School District
1318,23-24,283.0,1.0,St. Louis Park Public School District,462.0,1.0,3.0,Minneapolis Public School District
1319,23-24,283.0,1.0,St. Louis Park Public School District,5.0,11.0,1.0,Anoka-Hennepin Public School District
1320,23-24,283.0,1.0,St. Louis Park Public School District,1.0,14.0,1.0,Fridley Public School District
1321,23-24,283.0,1.0,St. Louis Park Public School District,1.0,112.0,1.0,Eastern Carver County Public Schools
1322,23-24,283.0,1.0,St. Louis Park Public School District,1.0,191.0,1.0,Burnsville-Eagan-Savage School District
1323,23-24,283.0,1.0,St. Louis Park Public School District,1.0,192.0,1.0,Farmington Public School District
1324,23-24,283.0,1.0,St. Louis Park Public School District,113.0,270.0,1.0,Hopkins Public School District
1325,23-24,283.0,1.0,St. Louis Park Public School District,5.0,271.0,1.0,Bloomington Public School District
1326,23-24,283.0,1.0,St. Louis Park Public School District,4.0,273.0,1.0,Edina Public School District
1327,23-24,283.0,1.0,St. Louis Park Public School District,2.0,276.0,1.0,Minnetonka Public School District
1328,23-24,283.0,1.0,St. Louis Park Public School District,31.0,279.0,1.0,Osseo Public School District
1329,23-24,283.0,1.0,St. Louis Park Public School District,1.0,280.0,1.0,Richfield Public School District
1330,23-24,283.0,1.0,St. Louis Park Public School District,118.0,281.0,1.0,Robbinsdale Public School District
1331,23-24,283.0,1.0,St. Louis Park Public School District,15.0,284.0,1.0,Wayzata Public School District
1332,23-24,283.0,1.0,St. Louis Park Public School District,8.0,286.0,1.0,Brooklyn Center Community Schools
1333,23-24,283.0,1.0,St. Louis Park Public School District,3.0,625.0,1.0,Saint Paul Public Schools
1334,23-24,283.0,1.0,St. Louis Park Public School District,1.0,720.0,1.0,Shakopee Public School District
1335,23-24,283.0,1.0,St. Louis Park Public School District,1.0,728.0,1.0,Elk River Public School District
1336,23-24,283.0,1.0,St. Louis Park Public School District,1.0,879.0,1.0,Delano Public School District
1337,23-24,283.0,1.0,St. Louis Park Public School District,2.0,882.0,1.0,Monticello Public School District
1338,23-24,284.0,1.0,Wayzata Public School District,11.0,1.0,3.0,Minneapolis Public School District
1339,23-24,284.0,1.0,Wayzata Public School District,4.0,11.0,1.0,Anoka-Hennepin Public School District
1340,23-24,284.0,1.0,Wayzata Public School District,1.0,14.0,1.0,Fridley Public School District
1341,23-24,284.0,1.0,Wayzata Public School District,1.0,77.0,1.0,Mankato Public School District
1342,23-24,284.0,1.0,Wayzata Public School District,2.0,111.0,1.0,Watertown-Mayer Public School District
1343,23-24,284.0,1.0,Wayzata Public School District,1.0,112.0,1.0,Eastern Carver County Public Schools
1344,23-24,284.0,1.0,Wayzata Public School District,11.0,270.0,1.0,Hopkins Public School District
1345,23-24,284.0,1.0,Wayzata Public School District,1.0,271.0,1.0,Bloomington Public School District
1346,23-24,284.0,1.0,Wayzata Public School District,1.0,272.0,1.0,Eden Prairie Public School District
1347,23-24,284.0,1.0,Wayzata Public School District,1.0,276.0,1.0,Minnetonka Public School District
1348,23-24,284.0,1.0,Wayzata Public School District,1.0,277.0,1.0,Westonka Public School District
1349,23-24,284.0,1.0,Wayzata Public School District,3.0,278.0,1.0,Orono Public School District
1350,23-24,284.0,1.0,Wayzata Public School District,73.0,279.0,1.0,Osseo Public School District
1351,23-24,284.0,1.0,Wayzata Public School District,2.0,280.0,1.0,Richfield Public School District
1352,23-24,284.0,1.0,Wayzata Public School District,49.0,281.0,1.0,Robbinsdale Public School District
1353,23-24,284.0,1.0,Wayzata Public School District,4.0,283.0,1.0,St. Louis Park Public School District
1354,23-24,284.0,1.0,Wayzata Public School District,1.0,716.0,1.0,Belle Plaine Public School District
1355,23-24,284.0,1.0,Wayzata Public School District,4.0,728.0,1.0,Elk River Public School District
1356,23-24,284.0,1.0,Wayzata Public School District,4.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
1357,23-24,284.0,1.0,Wayzata Public School District,5.0,879.0,1.0,Delano Public School District
1358,23-24,284.0,1.0,Wayzata Public School District,1.0,882.0,1.0,Monticello Public School District
1359,23-24,284.0,1.0,Wayzata Public School District,12.0,883.0,1.0,Rockford Public School District
1360,23-24,284.0,1.0,Wayzata Public School District,4.0,885.0,1.0,St. Michael-Albertville School District
1361,23-24,286.0,1.0,Brooklyn Center Community Schools,148.0,1.0,3.0,Minneapolis Public School District
1362,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,4.0,1.0,McGregor Public School District
1363,23-24,286.0,1.0,Brooklyn Center Community Schools,182.0,11.0,1.0,Anoka-Hennepin Public School District
1364,23-24,286.0,1.0,Brooklyn Center Community Schools,5.0,12.0,1.0,Centennial Public School District
1365,23-24,286.0,1.0,Brooklyn Center Community Schools,4.0,13.0,1.0,Columbia Heights Public School District
1366,23-24,286.0,1.0,Brooklyn Center Community Schools,8.0,14.0,1.0,Fridley Public School District
1367,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,15.0,1.0,St. Francis Area Schools
1368,23-24,286.0,1.0,Brooklyn Center Community Schools,4.0,16.0,1.0,Spring Lake Park Public Schools
1369,23-24,286.0,1.0,Brooklyn Center Community Schools,5.0,31.0,1.0,Bemidji Public School District
1370,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,38.0,1.0,Red Lake Public School District
1371,23-24,286.0,1.0,Brooklyn Center Community Schools,8.0,47.0,1.0,Sauk Rapids-Rice Public Schools
1372,23-24,286.0,1.0,Brooklyn Center Community Schools,5.0,51.0,1.0,Foley Public School District
1373,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,75.0,1.0,St. Clair Public School District
1374,23-24,286.0,1.0,Brooklyn Center Community Schools,4.0,77.0,1.0,Mankato Public School District
1375,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,85.0,1.0,Springfield Public School District
1376,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,93.0,1.0,Carlton Public School District
1377,23-24,286.0,1.0,Brooklyn Center Community Schools,3.0,94.0,1.0,Cloquet Public School District
1378,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,100.0,1.0,Wrenshall Public School District
1379,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,108.0,1.0,Central Public School District
1380,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,111.0,1.0,Watertown-Mayer Public School District
1381,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,112.0,1.0,Eastern Carver County Public Schools
1382,23-24,286.0,1.0,Brooklyn Center Community Schools,3.0,113.0,1.0,Walker-Hackensack-Akeley School District
1383,23-24,286.0,1.0,Brooklyn Center Community Schools,3.0,129.0,1.0,Montevideo Public School District
1384,23-24,286.0,1.0,Brooklyn Center Community Schools,3.0,138.0,1.0,North Branch Area Public Schools
1385,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,146.0,1.0,Barnesville Public School District
1386,23-24,286.0,1.0,Brooklyn Center Community Schools,5.0,152.0,1.0,Moorhead Area Public School District
1387,23-24,286.0,1.0,Brooklyn Center Community Schools,3.0,182.0,1.0,Crosby-Ironton Public School District
1388,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,186.0,1.0,Pequot Lakes Public Schools
1389,23-24,286.0,1.0,Brooklyn Center Community Schools,3.0,191.0,1.0,Burnsville-Eagan-Savage School District
1390,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,194.0,1.0,Lakeville Area Schools
1391,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,195.0,1.0,Randolph Public School District
1392,23-24,286.0,1.0,Brooklyn Center Community Schools,4.0,196.0,1.0,Rosemount-Apple Valley-Eagan
1393,23-24,286.0,1.0,Brooklyn Center Community Schools,3.0,197.0,1.0,West St. Paul-Mendota Heights-Eagan
1394,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,199.0,1.0,Inver Grove Heights Schools
1395,23-24,286.0,1.0,Brooklyn Center Community Schools,5.0,200.0,1.0,Hastings Public School District
1396,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,204.0,1.0,Kasson-Mantorville School District
1397,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,213.0,1.0,Osakis Public School District
1398,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,238.0,1.0,Mabel-Canton Public School District
1399,23-24,286.0,1.0,Brooklyn Center Community Schools,4.0,241.0,1.0,Albert Lea Public School District
1400,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,253.0,1.0,Goodhue Public School District
1401,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,255.0,1.0,Pine Island Public School District
1402,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,270.0,1.0,Hopkins Public School District
1403,23-24,286.0,1.0,Brooklyn Center Community Schools,4.0,271.0,1.0,Bloomington Public School District
1404,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,276.0,1.0,Minnetonka Public School District
1405,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,277.0,1.0,Westonka Public School District
1406,23-24,286.0,1.0,Brooklyn Center Community Schools,341.0,279.0,1.0,Osseo Public School District
1407,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,280.0,1.0,Richfield Public School District
1408,23-24,286.0,1.0,Brooklyn Center Community Schools,96.0,281.0,1.0,Robbinsdale Public School District
1409,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,283.0,1.0,St. Louis Park Public School District
1410,23-24,286.0,1.0,Brooklyn Center Community Schools,5.0,284.0,1.0,Wayzata Public School District
1411,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,299.0,1.0,Caledonia Public School District
1412,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,300.0,1.0,La Crescent-Hokah School District
1413,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,309.0,1.0,Park Rapids Public School District
1414,23-24,286.0,1.0,Brooklyn Center Community Schools,4.0,317.0,1.0,Deer River Public School District
1415,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,318.0,1.0,Grand Rapids Public School District
1416,23-24,286.0,1.0,Brooklyn Center Community Schools,4.0,332.0,1.0,Mora Public School District
1417,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,333.0,1.0,Ogilvie Public School District
1418,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,345.0,1.0,New London-Spicer School District
1419,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,347.0,1.0,Willmar Public School District
1420,23-24,286.0,1.0,Brooklyn Center Community Schools,2.0,361.0,1.0,International Falls School District
1421,23-24,286.0,1.0,Brooklyn Center Community Schools,1.0,378.0,1.0,Dawson-Boyd Public School District
